Halstead_b,Halstead_d,Halstead_e,Halstead_i,Halstead_l,Halstead_lOBlank,Halstead_lOCode,Halstead_lOComment,Halstead_n,Halstead_t,Halstead_v,McCabe_ev(g),McCabe_iv(g),McCabe_loc,McCabe_v(g),SOFTWARE,branchCount,defects,locCodeAndComment,total_Op,total_Opnd,uniq_Op,uniq_Opnd
0.13,9.35,3566.77,40.8,0.11,3,17,0,77.0,198.15,381.47,1.0,3.0,22.0,3.0,1,5,0,0,43,34,11,20
0.07,14.22,2906.02,14.37,0.07,4,14,0,44.0,161.45,204.33,4.0,2.0,20.0,4.0,1,7,0,0,28,16,16,9
0.12,10.4,3672.32,33.95,0.1,5,20,1,70.0,204.02,353.11,1.0,3.0,28.0,3.0,1,5,0,0,38,32,13,20
0.05,4.27,675.52,37.11,0.23,1,9,0,35.0,37.53,158.32,1.0,2.0,12.0,2.0,1,3,0,0,19,16,8,15
0.13,7.13,2806.18,55.21,0.14,1,17,0,75.0,155.9,393.59,1.0,3.0,20.0,3.0,1,5,0,0,40,35,11,27
0.02,4.67,345.37,15.86,0.21,1,8,0,20.0,19.19,74.01,1.0,2.0,11.0,2.0,1,3,0,0,12,8,7,6
0.02,3.33,219.1,19.72,0.3,2,5,0,19.0,12.17,65.73,1.0,1.0,9.0,1.0,1,1,0,0,11,8,5,6
0.14,8.48,3609.84,50.21,0.12,6,28,2,83.0,200.55,425.73,1.0,5.0,40.0,5.0,1,9,0,2,46,37,11,24
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,1,0,0,0,0,0,0
0.01,2.0,69.74,17.43,0.5,0,3,0,11.0,3.87,34.87,1.0,1.0,5.0,1.0,1,1,0,0,6,5,4,5
0.01,2.0,69.74,17.43,0.5,0,5,0,11.0,3.87,34.87,1.0,1.0,5.0,1.0,1,1,0,0,6,5,4,5
0.0,0.0,0.0,0.0,0.0,0,2,0,3.0,0.0,4.75,1.0,1.0,4.0,1.0,1,1,0,0,3,0,3,0
0.11,7.75,2585.93,43.05,0.13,3,18,0,68.0,143.66,333.67,1.0,3.0,25.0,3.0,1,5,0,2,37,31,10,20
0.02,4.2,225.85,12.8,0.24,2,4,0,15.0,12.55,53.77,1.0,1.0,8.0,1.0,1,1,0,0,9,6,7,5
0.02,3.33,219.1,19.72,0.3,1,5,0,19.0,12.17,65.73,1.0,1.0,8.0,1.0,1,1,0,0,11,8,5,6
0.14,8.61,3503.71,47.28,0.12,6,28,2,80.0,194.65,407.0,1.0,5.0,40.0,5.0,1,9,0,2,44,36,11,23
0.08,10.0,2472.54,24.73,0.1,1,15,0,52.0,137.36,247.25,1.0,4.0,18.0,4.0,1,7,0,0,27,25,12,15
0.08,10.0,2472.54,24.73,0.1,1,16,0,52.0,137.36,247.25,1.0,4.0,19.0,4.0,1,7,0,0,27,25,12,15
0.04,8.94,1101.01,13.78,0.11,1,7,0,29.0,61.17,123.19,1.0,2.0,10.0,2.0,1,3,0,0,16,13,11,8
0.15,18.75,8360.2,23.78,0.05,1,17,0,90.0,464.46,445.88,1.0,4.0,21.0,6.0,1,11,0,1,50,40,15,16
0.21,22.11,14057.46,28.77,0.05,1,27,0,125.0,780.97,635.93,1.0,4.0,30.0,7.0,1,13,0,0,69,56,15,19
0.36,30.56,32596.51,34.91,0.03,6,40,1,190.0,1810.92,1066.79,12.0,13.0,49.0,13.0,1,25,0,0,117,75,22,27
0.1,12.79,3966.18,24.23,0.08,1,16,0,62.0,220.34,310.0,1.0,4.0,19.0,5.0,1,9,0,0,33,29,15,17
0.14,15.42,6299.19,26.5,0.06,1,20,0,81.0,349.95,408.6,1.0,4.0,23.0,5.0,1,9,0,0,44,37,15,18
0.03,7.07,650.57,13.01,0.14,1,7,0,23.0,36.14,92.0,1.0,2.0,10.0,2.0,1,3,0,0,12,11,9,7
0.1,12.79,3966.18,24.23,0.08,1,16,0,62.0,220.34,310.0,1.0,4.0,19.0,5.0,1,9,0,0,33,29,15,17
0.14,15.42,6299.19,26.5,0.06,1,22,0,81.0,349.95,408.6,1.0,4.0,25.0,5.0,1,9,0,0,44,37,15,18
0.11,12.38,4223.86,27.58,0.08,1,21,0,71.0,234.66,341.32,1.0,4.0,24.0,4.0,1,7,0,0,38,33,12,16
0.1,12.79,3966.18,24.23,0.08,1,16,0,62.0,220.34,310.0,1.0,4.0,19.0,5.0,1,9,0,0,33,29,15,17
0.14,15.42,6299.19,26.5,0.06,1,20,0,81.0,349.95,408.6,1.0,4.0,23.0,5.0,1,9,0,0,44,37,15,18
0.24,23.2,17031.8,31.64,0.04,1,23,0,142.0,946.21,734.13,12.0,12.0,26.0,12.0,1,23,0,0,84,58,16,20
0.11,12.38,4223.86,27.58,0.08,1,19,0,71.0,234.66,341.32,1.0,4.0,22.0,4.0,1,7,0,0,38,33,12,16
0.06,13.72,2631.31,13.97,0.07,1,9,0,43.0,146.18,191.76,1.0,2.0,19.0,3.0,1,5,0,0,24,19,13,9
0.26,22.48,17329.12,34.3,0.04,1,20,0,148.0,962.73,771.0,14.0,14.0,23.0,14.0,1,27,0,0,89,59,16,21
0.39,32.61,38462.28,36.18,0.03,5,44,1,209.0,2136.79,1179.57,12.0,13.0,52.0,13.0,1,25,0,0,128,83,22,28
0.04,8.94,1101.01,13.78,0.11,1,7,0,29.0,61.17,123.19,1.0,2.0,10.0,2.0,1,3,0,0,16,13,11,8
0.13,17.5,7000.0,22.86,0.06,1,18,0,80.0,388.89,400.0,7.0,6.0,21.0,7.0,1,13,0,0,45,35,16,16
0.1,12.79,3966.18,24.23,0.08,1,16,0,62.0,220.34,310.0,1.0,4.0,19.0,5.0,1,9,0,0,33,29,15,17
0.14,15.42,6299.19,26.5,0.06,1,20,0,81.0,349.95,408.6,1.0,4.0,23.0,5.0,1,9,0,0,44,37,15,18
0.05,8.5,1326.68,18.36,0.12,1,9,0,35.0,73.7,156.08,1.0,2.0,12.0,2.0,1,3,0,0,18,17,11,11
0.35,28.24,29487.2,36.97,0.04,2,43,0,185.0,1638.18,1044.1,14.0,13.0,47.0,14.0,1,27,0,0,107,78,21,29
0.39,29.13,33873.85,39.92,0.03,2,47,0,204.0,1881.88,1162.89,14.0,13.0,51.0,14.0,1,27,0,0,118,86,21,31
0.04,8.94,1101.01,13.78,0.11,1,7,0,29.0,61.17,123.19,1.0,2.0,10.0,2.0,1,3,0,0,16,13,11,8
0.17,20.24,10105.41,24.68,0.05,1,22,0,99.0,561.41,499.4,7.0,6.0,25.0,7.0,1,13,0,0,56,43,16,17
0.1,12.79,3966.18,24.23,0.08,1,16,0,62.0,220.34,310.0,1.0,4.0,19.0,5.0,1,9,0,0,33,29,15,17
0.14,15.42,6299.19,26.5,0.06,1,20,0,81.0,349.95,408.6,1.0,4.0,23.0,5.0,1,9,0,0,44,37,15,18
0.1,12.79,3966.18,24.23,0.08,1,16,0,62.0,220.34,310.0,1.0,4.0,19.0,5.0,1,9,0,0,33,29,15,17
0.14,15.42,6299.19,26.5,0.06,1,20,0,81.0,349.95,408.6,1.0,4.0,23.0,5.0,1,9,0,0,44,37,15,18
0.04,8.94,1101.01,13.78,0.11,1,7,0,29.0,61.17,123.19,1.0,2.0,10.0,2.0,1,3,0,0,16,13,11,8
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,1,0,0,0,0,0,0
0.14,9.67,3936.96,42.13,0.1,6,20,6,83.0,218.72,407.27,1.0,2.0,34.0,2.0,1,3,0,0,54,29,12,18
0.36,28.0,30183.34,38.5,0.04,9,44,1,191.0,1676.85,1077.98,7.0,9.0,56.0,10.0,1,19,0,0,107,84,20,30
0.81,38.16,92199.99,63.32,0.03,20,95,18,376.0,5122.22,2416.28,14.0,14.0,136.0,16.0,1,31,0,1,226,150,29,57
1.98,52.73,312552.12,112.39,0.02,32,208,1,844.0,17364.01,5926.88,5.0,12.0,243.0,31.0,1,54,0,0,521,323,32,98
0.15,13.33,6183.75,34.78,0.08,5,27,8,104.0,343.54,463.78,1.0,1.0,42.0,1.0,1,1,0,0,72,32,10,12
0.13,13.29,5110.68,28.93,0.08,5,22,4,85.0,283.93,384.5,1.0,1.0,33.0,1.0,1,1,0,0,56,29,11,12
0.14,11.67,4786.46,35.17,0.09,5,23,3,92.0,265.91,410.27,1.0,1.0,33.0,1.0,1,1,0,0,64,28,10,12
0.45,22.0,29999.94,61.98,0.05,10,67,4,258.0,1666.66,1363.63,1.0,5.0,83.0,5.0,1,9,0,0,170,88,13,26
0.14,8.61,3547.51,47.87,0.12,5,28,2,81.0,197.08,412.08,1.0,5.0,39.0,5.0,1,9,0,2,45,36,11,23
0.04,7.0,937.86,19.14,0.14,2,8,0,31.0,52.1,133.98,1.0,2.0,12.0,4.0,1,7,0,0,17,14,10,10
0.04,7.0,937.86,19.14,0.14,2,8,0,31.0,52.1,133.98,1.0,2.0,12.0,4.0,1,7,0,0,17,14,10,10
0.1,9.17,2616.2,31.13,0.11,6,17,7,64.0,145.34,285.4,1.0,1.0,32.0,1.0,1,1,0,0,42,22,10,12
0.12,10.42,3716.19,34.25,0.1,5,20,9,80.0,206.46,356.75,1.0,1.0,36.0,1.0,1,1,0,0,55,25,10,12
0.04,4.0,437.57,27.35,0.25,1,8,0,28.0,24.31,109.39,1.0,1.0,11.0,1.0,1,1,0,0,16,12,6,9
0.18,21.0,11130.0,25.24,0.05,3,18,0,106.0,618.33,530.0,10.0,8.0,23.0,10.0,1,19,0,0,64,42,16,16
0.16,10.68,5180.68,45.4,0.09,4,22,8,97.0,287.82,485.0,3.0,4.0,36.0,4.0,1,7,0,0,50,47,10,22
0.13,10.82,4194.69,35.84,0.09,4,15,0,75.0,233.04,387.74,1.0,3.0,25.0,3.0,1,5,0,4,41,34,14,22
0.29,25.78,22774.73,34.28,0.04,8,33,17,155.0,1265.26,883.57,1.0,6.0,60.0,7.0,1,13,0,0,90,65,23,29
0.01,2.5,79.25,12.68,0.4,0,2,0,10.0,4.4,31.7,1.0,1.0,4.0,1.0,1,1,0,0,6,4,5,4
0.13,8.86,3529.86,44.96,0.11,5,20,6,82.0,196.1,398.35,1.0,2.0,33.0,2.0,1,3,0,0,53,29,11,18
0.06,13.13,2374.87,13.79,0.08,3,14,0,40.0,131.94,180.94,1.0,2.0,19.0,3.0,1,5,0,0,26,14,15,8
0.14,21.88,9499.74,19.85,0.05,3,19,0,84.0,527.76,434.27,6.0,4.0,24.0,6.0,1,11,0,0,49,35,20,16
0.14,21.88,9499.74,19.85,0.05,3,19,0,84.0,527.76,434.27,6.0,4.0,24.0,6.0,1,11,0,0,49,35,20,16
0.13,19.8,7690.68,19.62,0.05,2,15,0,77.0,427.26,388.42,5.0,3.0,19.0,5.0,1,9,0,0,44,33,18,15
0.14,21.88,9499.74,19.85,0.05,4,19,0,84.0,527.76,434.27,6.0,4.0,25.0,6.0,1,11,0,0,49,35,20,16
0.06,13.13,2374.87,13.79,0.08,3,14,0,40.0,131.94,180.94,1.0,2.0,19.0,3.0,1,5,0,0,26,14,15,8
0.22,9.97,6653.45,66.95,0.1,6,22,4,123.0,369.64,667.43,4.0,5.0,35.0,5.0,1,9,0,1,65,58,11,32
0.08,6.42,1465.09,35.58,0.16,4,14,1,47.0,81.39,228.33,1.0,2.0,21.0,2.0,1,3,0,0,26,21,11,18
0.42,40.07,50122.29,31.22,0.02,5,40,0,232.0,2784.57,1251.02,17.0,13.0,47.0,17.0,1,33,0,0,135,97,19,23
0.99,66.81,198326.2,44.44,0.01,8,102,0,526.0,11018.12,2968.67,39.0,31.0,112.0,39.0,1,77,0,0,308,218,19,31
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,3.0,27.0,3.0,1,5,0,0,0,0,0,0
0.46,24.12,33593.77,57.74,0.04,6,53,1,242.0,1866.32,1392.68,14.0,15.0,70.0,15.0,1,29,0,8,137,105,17,37
0.1,7.26,2123.0,40.24,0.14,1,14,0,59.0,117.94,292.3,1.0,2.0,19.0,2.0,1,3,0,0,36,23,12,19
0.09,7.33,1979.11,36.8,0.14,1,13,0,55.0,109.95,269.88,1.0,2.0,17.0,2.0,1,3,0,0,33,22,12,18
0.09,7.33,1979.11,36.8,0.14,1,13,0,55.0,109.95,269.88,1.0,2.0,18.0,2.0,1,3,0,0,33,22,12,18
0.09,7.33,1979.11,36.8,0.14,1,13,0,55.0,109.95,269.88,1.0,2.0,17.0,2.0,1,3,0,0,33,22,12,18
0.09,7.33,1979.11,36.8,0.14,1,13,0,55.0,109.95,269.88,1.0,2.0,17.0,2.0,1,3,0,0,33,22,12,18
0.09,7.33,1979.11,36.8,0.14,1,14,0,55.0,109.95,269.88,1.0,2.0,19.0,2.0,1,3,0,0,33,22,12,18
0.1,7.26,2123.0,40.24,0.14,1,15,0,59.0,117.94,292.3,1.0,2.0,20.0,2.0,1,3,0,0,36,23,12,19
0.55,35.94,59818.99,46.32,0.03,3,67,1,292.0,3323.28,1664.53,3.0,5.0,74.0,6.0,1,11,0,1,177,115,20,32
0.14,11.93,5034.82,35.36,0.08,1,21,0,81.0,279.71,421.97,1.0,3.0,25.0,3.0,1,5,0,0,46,35,15,22
0.02,3.5,213.31,17.41,0.29,0,3,0,17.0,11.85,60.94,1.0,1.0,5.0,1.0,1,1,0,0,10,7,6,6
0.28,19.09,16135.47,44.27,0.05,1,47,0,149.0,896.42,845.19,8.0,7.0,52.0,8.0,1,15,0,0,79,70,18,33
0.09,7.33,1979.11,36.8,0.14,1,13,0,55.0,109.95,269.88,1.0,2.0,18.0,2.0,1,3,0,0,33,22,12,18
0.61,32.43,59634.32,56.68,0.03,11,53,7,310.0,3313.02,1838.53,23.0,20.0,73.0,23.0,1,45,0,0,195,115,22,39
0.1,7.26,2123.0,40.24,0.14,1,14,0,59.0,117.94,292.3,1.0,2.0,18.0,2.0,1,3,0,0,36,23,12,19
0.09,7.33,1979.11,36.8,0.14,1,13,0,55.0,109.95,269.88,1.0,2.0,17.0,2.0,1,3,0,0,33,22,12,18
0.22,21.25,13805.54,30.57,0.05,6,28,0,119.0,766.97,649.67,4.0,5.0,36.0,6.0,1,11,0,0,68,51,20,24
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.05,2.5,385.72,61.71,0.4,1,6,0,37.0,21.43,154.29,1.0,1.0,9.0,1.0,1,1,0,0,24,13,5,13
0.07,10.77,2201.88,18.99,0.09,1,9,0,43.0,122.33,204.46,1.0,2.0,12.0,3.0,1,5,0,0,23,20,14,13
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,22.0,2.0,1,3,0,0,0,0,0,0
0.16,9.0,4195.39,51.79,0.11,8,19,0,95.0,233.08,466.15,1.0,2.0,29.0,2.0,1,3,0,0,53,42,9,21
0.32,17.81,16913.19,53.34,0.06,6,38,1,171.0,939.62,949.83,13.0,13.0,52.0,13.0,1,25,0,5,102,69,16,31
0.14,10.13,4176.02,40.68,0.1,2,24,1,84.0,232.0,412.18,6.0,6.0,31.0,6.0,1,11,0,2,49,35,11,19
0.26,17.14,13477.0,45.86,0.06,6,35,0,144.0,748.72,786.16,10.0,10.0,48.0,10.0,1,19,0,5,84,60,16,28
0.09,7.03,1893.82,38.31,0.14,2,17,0,58.0,105.21,269.34,1.0,3.0,24.0,3.0,1,5,0,3,33,25,9,16
0.08,5.48,1383.64,46.14,0.18,1,14,0,51.0,76.87,252.66,1.0,2.0,18.0,2.0,1,3,0,0,28,23,10,21
0.02,4.2,225.85,12.8,0.24,2,4,0,15.0,12.55,53.77,1.0,1.0,8.0,1.0,1,1,0,0,9,6,7,5
0.02,3.33,219.1,19.72,0.3,1,5,0,19.0,12.17,65.73,1.0,1.0,8.0,1.0,1,1,0,0,11,8,5,6
0.05,2.67,391.85,55.1,0.38,2,5,0,34.0,21.77,146.95,1.0,1.0,9.0,1.0,1,1,0,0,18,16,5,15
0.01,3.0,109.62,12.18,0.33,0,2,0,11.0,6.09,36.54,1.0,1.0,4.0,1.0,1,1,0,0,7,4,6,4
1.8,58.8,317656.99,91.89,0.02,8,183,38,808.0,17647.61,5402.69,24.0,25.0,231.0,37.0,1,73,0,0,477,331,27,76
0.15,22.8,10006.06,19.25,0.04,5,22,0,87.0,555.89,438.86,5.0,6.0,29.0,7.0,1,13,0,0,49,38,18,15
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.02,3.5,213.31,17.41,0.29,2,4,0,17.0,11.85,60.94,1.0,1.0,8.0,1.0,1,1,0,0,10,7,6,6
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.01,2.5,79.25,12.68,0.4,0,2,0,10.0,4.4,31.7,1.0,1.0,4.0,1.0,1,1,0,0,6,4,5,4
0.19,13.71,8011.33,42.59,0.07,2,32,0,107.0,445.07,584.16,5.0,4.0,38.0,5.0,1,9,0,0,59,48,16,28
0.17,12.4,6446.06,41.9,0.08,4,26,0,97.0,358.11,519.67,4.0,3.0,32.0,4.0,1,7,0,0,54,43,15,26
0.02,3.5,213.31,17.41,0.29,0,3,0,17.0,11.85,60.94,1.0,1.0,5.0,1.0,1,1,0,0,10,7,6,6
0.02,3.0,139.52,15.5,0.33,1,4,0,14.0,7.75,46.51,1.0,1.0,7.0,1.0,1,1,0,0,8,6,5,5
0.19,21.26,12333.82,27.28,0.05,6,32,0,109.0,685.21,580.09,4.0,5.0,40.0,7.0,1,13,0,0,62,47,19,21
0.2,19.83,11973.76,30.46,0.05,8,29,0,112.0,665.21,603.94,4.0,5.0,39.0,6.0,1,11,0,0,64,48,19,23
0.16,25.8,12233.66,18.38,0.04,5,26,0,94.0,679.65,474.17,1.0,5.0,33.0,6.0,1,11,0,0,51,43,18,15
0.06,6.67,1210.14,27.23,0.15,2,7,0,42.0,67.23,181.52,4.0,4.0,11.0,4.0,1,7,0,0,22,20,8,12
0.03,6.0,502.57,13.96,0.17,2,8,0,22.0,27.92,83.76,1.0,2.0,12.0,2.0,1,3,0,0,13,9,8,6
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.08,7.69,1790.71,30.26,0.13,1,9,0,53.0,99.48,232.79,4.0,4.0,12.0,4.0,1,7,0,0,28,25,8,13
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.13,17.5,7000.0,22.86,0.06,1,18,0,80.0,388.89,400.0,7.0,6.0,21.0,7.0,1,13,0,0,45,35,16,16
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.02,3.6,174.36,13.45,0.28,1,4,0,14.0,9.69,48.43,1.0,1.0,7.0,1.0,1,1,0,0,8,6,6,5
0.02,4.08,271.98,16.3,0.24,1,3,0,18.0,15.11,66.61,1.0,1.0,6.0,1.0,1,1,0,0,11,7,7,6
0.2,23.68,14145.41,25.22,0.04,3,35,6,113.0,785.86,597.25,9.0,11.0,46.0,11.0,1,21,0,0,68,45,20,19
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.04,6.5,813.14,19.25,0.15,2,8,0,30.0,45.17,125.1,1.0,1.0,12.0,2.0,1,3,0,0,17,13,9,9
0.18,22.63,12200.93,23.82,0.04,5,24,0,102.0,677.83,539.11,4.0,5.0,31.0,6.0,1,11,0,0,59,43,20,19
0.37,17.79,19750.95,62.44,0.06,8,39,13,188.0,1097.28,1110.5,6.0,7.0,65.0,7.0,1,13,0,3,105,83,18,42
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.0,6.0,71.0,13.0,1,25,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,1,0,0,0,0,0,0
0.01,2.0,69.74,17.43,0.5,0,3,0,11.0,3.87,34.87,1.0,1.0,5.0,1.0,1,1,0,0,6,5,4,5
0.01,2.5,99.66,15.95,0.4,0,5,0,12.0,5.54,39.86,1.0,1.0,5.0,1.0,1,1,0,0,7,5,5,5
0.12,9.3,3301.5,38.17,0.11,2,20,0,71.0,183.42,355.0,1.0,3.0,25.0,3.0,1,5,0,0,40,31,12,20
0.09,5.95,1621.91,45.78,0.17,1,15,0,55.0,90.11,272.48,1.0,2.0,18.0,2.0,1,3,0,0,30,25,10,21
1.75,51.5,269979.99,101.79,0.02,28,170,20,759.0,14998.89,5242.33,30.0,32.0,221.0,34.0,1,67,0,1,450,309,30,90
0.02,3.5,213.31,17.41,0.29,0,3,0,17.0,11.85,60.94,1.0,1.0,5.0,1.0,1,1,0,0,10,7,6,6
0.02,3.5,213.31,17.41,0.29,0,3,0,17.0,11.85,60.94,1.0,1.0,5.0,1.0,1,1,0,0,10,7,6,6
0.02,3.5,213.31,17.41,0.29,0,3,0,17.0,11.85,60.94,1.0,1.0,5.0,1.0,1,1,0,0,10,7,6,6
0.05,6.5,894.45,21.17,0.15,1,4,0,33.0,49.69,137.61,1.0,2.0,7.0,2.0,1,3,0,0,20,13,9,9
1.42,63.11,268068.45,67.31,0.02,1,115,12,670.0,14892.69,4247.7,37.0,25.0,131.0,42.0,1,83,0,0,403,267,26,55
1.04,64.55,201710.52,48.41,0.02,5,99,15,529.0,11206.14,3124.75,14.0,18.0,123.0,24.0,1,47,0,0,306,223,22,38
0.18,9.9,5262.73,53.73,0.1,9,37,6,98.0,292.37,531.77,4.0,6.0,55.0,8.0,1,15,0,1,57,41,14,29
0.16,12.67,5932.18,36.97,0.08,2,24,0,88.0,329.57,468.33,4.0,3.0,28.0,4.0,1,7,0,0,50,38,16,24
0.18,13.54,7300.37,39.83,0.07,2,26,0,100.0,405.58,539.23,4.0,3.0,30.0,4.0,1,7,0,0,56,44,16,26
0.14,11.41,4791.59,36.79,0.09,3,21,0,80.0,266.2,419.83,4.0,3.0,26.0,4.0,1,7,0,0,45,35,15,23
0.18,13.54,7300.37,39.83,0.07,2,22,0,100.0,405.58,539.23,4.0,3.0,26.0,4.0,1,7,0,0,56,44,16,26
0.05,7.22,1043.09,20.0,0.14,1,4,0,34.0,57.95,144.43,1.0,2.0,7.0,2.0,1,3,0,0,21,13,10,9
0.05,7.22,1043.09,20.0,0.14,1,4,0,34.0,57.95,144.43,1.0,2.0,7.0,2.0,1,3,0,0,21,13,10,9
0.05,7.22,1043.09,20.0,0.14,1,4,0,34.0,57.95,144.43,1.0,2.0,7.0,2.0,1,3,0,0,21,13,10,9
0.01,3.5,145.3,11.86,0.29,0,2,0,12.0,8.07,41.51,1.0,1.0,4.0,1.0,1,1,0,0,8,4,7,4
0.05,7.22,1043.09,20.0,0.14,1,4,0,34.0,57.95,144.43,1.0,2.0,7.0,2.0,1,3,0,0,21,13,10,9
0.01,3.5,145.3,11.86,0.29,0,2,0,12.0,8.07,41.51,1.0,1.0,4.0,1.0,1,1,0,0,8,4,7,4
0.01,3.5,145.3,11.86,0.29,0,2,0,12.0,8.07,41.51,1.0,1.0,4.0,1.0,1,1,0,0,8,4,7,4
0.01,3.5,145.3,11.86,0.29,0,2,0,12.0,8.07,41.51,1.0,1.0,4.0,1.0,1,1,0,0,8,4,7,4
0.18,20.24,11024.08,26.92,0.05,3,19,0,108.0,612.45,544.79,10.0,8.0,24.0,10.0,1,19,0,0,65,43,16,17
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.09,15.4,4095.29,17.27,0.06,2,16,0,58.0,227.52,265.93,1.0,3.0,20.0,6.0,1,11,0,0,36,22,14,10
0.23,18.67,12738.85,36.56,0.05,7,38,0,131.0,707.71,682.44,1.0,6.0,47.0,9.0,1,17,0,0,82,49,16,21
0.13,16.92,6361.26,22.23,0.06,3,21,0,80.0,353.4,376.04,1.0,3.0,26.0,6.0,1,11,0,0,51,29,14,12
0.12,8.25,3037.99,44.64,0.12,3,24,1,73.0,168.78,368.24,1.0,4.0,32.0,4.0,1,7,0,2,40,33,11,22
0.05,6.55,1018.4,23.77,0.15,2,7,0,36.0,56.58,155.59,1.0,1.0,11.0,1.0,1,1,0,0,20,16,9,11
0.04,9.75,1264.16,13.3,0.1,1,7,0,30.0,70.23,129.66,1.0,2.0,10.0,2.0,1,3,0,0,17,13,12,8
0.02,3.0,139.52,15.5,0.33,1,4,0,14.0,7.75,46.51,1.0,1.0,7.0,1.0,1,1,0,0,8,6,5,5
0.04,9.75,1264.16,13.3,0.1,1,7,0,30.0,70.23,129.66,1.0,2.0,10.0,2.0,1,3,0,0,17,13,12,8
0.04,9.75,1264.16,13.3,0.1,1,7,0,30.0,70.23,129.66,1.0,2.0,10.0,2.0,1,3,0,0,17,13,12,8
0.04,9.75,1264.16,13.3,0.1,1,7,0,30.0,70.23,129.66,1.0,2.0,10.0,2.0,1,3,0,0,17,13,12,8
0.38,29.67,33654.31,38.24,0.03,7,44,1,201.0,1869.68,1134.42,7.0,9.0,54.0,11.0,1,21,0,0,112,89,20,30
0.05,8.5,1326.68,18.36,0.12,1,9,0,35.0,73.7,156.08,1.0,2.0,12.0,2.0,1,3,0,0,18,17,11,11
0.4,31.86,38122.89,37.55,0.03,2,53,0,212.0,2117.94,1196.5,16.0,15.0,57.0,16.0,1,31,0,0,124,88,21,29
0.02,3.0,139.52,15.5,0.33,1,3,0,14.0,7.75,46.51,1.0,1.0,6.0,1.0,1,1,0,0,8,6,5,5
0.02,4.2,225.85,12.8,0.24,2,4,0,15.0,12.55,53.77,1.0,1.0,8.0,1.0,1,1,0,0,9,6,7,5
0.01,3.0,109.62,12.18,0.33,0,3,0,11.0,6.09,36.54,1.0,1.0,5.0,1.0,1,1,0,0,7,4,6,4
0.05,5.6,793.95,25.32,0.18,1,4,0,34.0,44.11,141.78,1.0,2.0,7.0,2.0,1,3,0,0,20,14,8,10
0.02,2.92,161.44,18.98,0.34,1,4,0,16.0,8.97,55.35,1.0,1.0,7.0,1.0,1,1,0,0,9,7,5,6
0.26,23.75,18195.59,32.25,0.04,6,38,0,143.0,1010.87,766.13,10.0,9.0,46.0,11.0,1,21,0,0,88,55,19,22
0.26,23.75,18195.59,32.25,0.04,6,38,0,143.0,1010.87,766.13,10.0,9.0,46.0,11.0,1,21,0,0,88,55,19,22
0.42,20.77,26082.67,60.45,0.05,1,54,0,207.0,1449.04,1255.68,1.0,7.0,58.0,8.0,1,15,0,0,116,91,21,46
0.44,22.19,29136.9,59.16,0.05,2,56,0,218.0,1618.72,1312.88,1.0,4.0,61.0,8.0,1,15,0,0,125,93,21,44
0.44,21.22,28294.07,62.82,0.05,2,54,0,219.0,1571.89,1333.15,1.0,7.0,59.0,8.0,1,15,0,0,124,95,21,47
